"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Experiment.code","Sex","Rearing.temperature","diff","reftemp","treattemp","warm.cool","es_reproduction","v_reproduction","es_longevity","v_longevity"
"1","Good","HUM109",2073,40,"19B","Gibbs et al.",2010,"Reproductive plasticity, ovarian dynamics and maternal effects in response to temperature and flight in Pararge aegeria","10.1016/j.jinsphys.2010.04.009","Pararge aegeria","Nymphalidae","Insecta","Arthropoda","Female","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM109A","Female",NA,-8,27,19,"Cool",-0.740779649,0.072466554,1.303322365,0.082211424
"17","Good","HUM148",2097,40,"25A","Ju et al.",2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata","10.1673/031.011.0116","Corythucha ciliata","Tingidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM148A","Female",26,-10,26,16,"Cool",-2.679243405,0.25297242,0.412274907,0.136166177
"18","Good","HUM148",2097,40,"25A","Ju et al.",2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata","10.1673/031.011.0116","Corythucha ciliata","Tingidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM148A","Female",26,-7,26,19,"Cool",-1.631924512,0.177719627,0.131871639,0.133623169
"19","Good","HUM148",2097,40,"25A","Ju et al.",2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata","10.1673/031.011.0116","Corythucha ciliata","Tingidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM148A","Female",26,-4,26,22,"Cool",-0.925443215,0.147607419,0.088580998,0.13346411
"20","Good","HUM148",2097,40,"25A","Ju et al.",2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata","10.1673/031.011.0116","Corythucha ciliata","Tingidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM148A","Female",26,4,26,30,"Warm",0.084206069,0.133451511,0.009067411,0.133334704
"21","Good","HUM148",2097,40,"25A","Ju et al.",2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata","10.1673/031.011.0116","Corythucha ciliata","Tingidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM148A","Female",26,7,26,33,"Warm",-0.22507654,0.134177658,-0.315301257,0.134990248
"55","Good","HUM22",2018,39,"24A","Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES","10.1016/0022-474X(91)90032-8","Anthrenus sarnicus","Dermestidae","Insecta","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM22B","Female",NA,-10,25,15,"Cool",-0.622052204,0.139782482,1.064336596,0.15221354
"56","Good","HUM22",2018,39,"24A","Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES","10.1016/0022-474X(91)90032-8","Anthrenus sarnicus","Dermestidae","Insecta","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM22B","Female",NA,-7.5,25,17.5,"Cool",-0.005229148,0.133333789,-0.155175688,0.133734658
"57","Good","HUM22",2018,39,"24A","Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES","10.1016/0022-474X(91)90032-8","Anthrenus sarnicus","Dermestidae","Insecta","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM22B","Female",NA,-5,25,20,"Cool",0.379902505,0.135738765,0,0.133333333
"58","Good","HUM22",2018,39,"24A","Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES","10.1016/0022-474X(91)90032-8","Anthrenus sarnicus","Dermestidae","Insecta","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM22B","Female",NA,5,25,30,"Warm",-1.104499097,0.153665304,-1.881505222,0.192334365
